ObjectId,ResponseID,EndDate,Finished,Rate_your_satisfaction_with_thi,Satisfaction_Level,Program,Answered_Question__1_yes__0_no_,Percent_,Fiscal_Year,FY
44,R_12KJWDsXccH8CYe,2017/06/15 20:57:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
45,R_12lmI1S7x97vYSD,2017/06/13 17:32:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
46,R_12LoOya0jRUeyKc,2017/06/13 12:49:59,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
47,R_12nKGKJDtp2BBkd,2017/06/13 12:30:59,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
48,R_12nXGhgu3TeE6lx,2017/06/16 09:11:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
49,R_12PErmHmzb2TbEY,2017/06/13 11:23:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
50,R_12PiA8ADik88IqA,2017/06/13 22:38:59,1,2,Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
51,R_1Eg8f9Qz50757F0,2018/07/04 10:54:59,1,4,Dissatisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
52,R_1EgO99l9x1WiNTP,2018/06/26 08:57:00,1,2,Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
53,R_1EhTArI4QSaJGsW,2017/06/13 14:29:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
54,R_1Ej21PXXkoum29Q,2018/06/27 10:12:00,1,4,Dissatisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
55,R_1eKaZHDWt8lcUDs,2017/06/13 16:37:00,1,1,Very Satisfied,Maniakz Program,1,,2017/06/30 00:00:00,FY 2017
56,R_1ePFVarfk5bQyet,2017/06/15 12:07:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
57,R_1etvpuDR5qTW3Us,2017/06/13 11:18:00,1,3,Neutral,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
58,R_1EXvcvVRfjb5tvm,2017/06/14 05:16:59,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
59,R_1eY5dwNOl3W8Nbp,2017/06/13 15:04:59,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
60,R_1eyFNEjxtG7GtHM,2018/06/26 12:10:00,1,1,Very Satisfied,Dance Class,1,,2018/06/30 00:00:00,FY 2018
61,R_1EZ2mx5iLof394A,2017/06/14 19:34:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
62,R_1ezMFKbOG9AW10B,2018/06/26 08:44:00,1,4,Dissatisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
63,R_1f0JfZ13OadTpla,2017/06/13 19:17:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
64,R_1f1IeGcIQcFAc6y,2017/06/14 15:49:00,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
65,R_1f6OlPj7LOO1y2m,2017/06/13 17:00:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
66,R_1F8wjCXZ1xNrwUl,2018/05/30 12:33:59,1,1,Very Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
67,R_1f941nPAyeHFaV4,2017/06/14 07:40:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
68,R_1f9swI8zRJmRVPB,2018/06/26 15:19:00,1,1,Very Satisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
69,R_1fcGSkok9Mnx3MV,2016/08/31 06:53:59,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
70,R_1FDLFwNlzq1v2G5,2017/06/14 10:21:59,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
71,R_1fdVmEqU8cSZbXU,2018/06/26 18:21:59,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
72,R_1FFYYbI4XV6p8xL,2017/06/13 19:22:59,1,3,Neutral,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
73,R_1Fh4bSOnrxO1A3Q,2017/06/14 02:16:00,1,3,Neutral,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
74,R_1Fhd9hqTtRvR6zn,2016/08/30 20:58:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
