ObjectId,ResponseID,EndDate,Finished,Rate_your_satisfaction_with_thi,Satisfaction_Level,Program,Answered_Question__1_yes__0_no_,Percent_,Fiscal_Year,FY
184,R_1KfnzMd6gg7SnDw,2018/06/26 13:14:00,1,1,Very Satisfied,Dance Class,1,,2018/06/30 00:00:00,FY 2018
185,R_1Kq0V0Kf6EDzlYn,2017/06/13 15:07:00,1,3,Neutral,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
186,R_1KqEp2XYuVspdqN,2018/06/26 09:24:59,1,4,Dissatisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
187,R_1Kwfk6KXQxyTxgn,2017/06/13 14:15:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
188,R_1KxquDIZLccAg9a,2016/08/30 16:57:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
189,R_1l3OjBq623k7TNn,2017/06/24 13:18:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
190,R_1QAb2cGa7ORGtsb,2017/06/13 21:27:59,1,2,Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
191,R_1l44BErM1vLx2wP,2017/06/13 14:28:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
192,R_1l4OsDVCueo12qq,2017/06/14 04:05:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
193,R_1l6wzlvCTeh7Cb0,2017/06/14 09:55:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
194,R_1LbbOYsXpoq6MfJ,2017/06/14 13:20:00,1,2,Satisfied,Adult Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
195,R_1lbikadFgb5Dkyb,2017/06/13 13:21:59,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
196,R_1lbkfA9jwewPf7c,2017/06/13 20:00:59,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
197,R_1LdR6mMTssQmYY9,2017/06/28 21:49:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
198,R_1LFjA86vhHxanXP,2017/06/13 11:25:00,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
199,R_1LGM3crZikDVuff,2017/06/13 13:21:59,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
200,R_1lgXzaVe7b5RhTo,2017/06/13 19:34:00,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
201,R_1lhgPoRp98dlFg8,2017/06/13 11:26:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
202,R_1liAKHWSsjhUETD,2018/06/26 08:45:59,1,1,Very Satisfied,Adult Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
203,R_1qagDdFGQ1gVBME,2017/06/14 07:25:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
204,R_1LjIcYQSmXHoGy5,2016/08/31 06:36:00,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
205,R_1qb3OdDi4DmYbo6,2018/05/30 12:19:00,1,3,Neutral,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
206,R_1lmCKCfhdTh3tyK,2017/06/23 14:34:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
207,R_1QbIgGk6p7CiLeZ,2017/06/13 11:45:59,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
208,R_1LnzYtbMnmyp5BP,2017/06/13 19:17:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
209,R_1QDGFl9YwmrpKyv,2017/06/13 21:29:00,1,4,Dissatisfied,Maniakz Program,1,,2017/06/30 00:00:00,FY 2017
210,R_1LpAneoDSOxYP82,2017/06/13 14:45:00,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
211,R_1QE4gttpobcXhyu,2017/06/14 13:09:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
212,R_1LpMbml3bpgwUGn,2017/06/18 15:06:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
213,R_1QEjOq05q0XrMdi,2018/07/08 09:59:59,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
214,R_1lsEJO8ZSCmOYr3,2017/06/13 20:16:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
215,R_1qeXG3yC7KGe5Uk,2016/08/30 17:19:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
216,R_1lsLL5xuyzqM2JK,2017/06/13 18:11:00,1,3,Neutral,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
217,R_1qf9cbM5sVkZb5W,2018/06/26 09:04:00,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
218,R_1LTOCgInduL9jGz,2016/08/30 16:49:00,1,28,Fair,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
219,R_1qgtrbPKud8luUE,2018/06/26 12:27:59,1,5,Very Dissatisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
220,R_1LuF0bvlyhkADXj,2018/06/26 15:27:00,1,1,Very Satisfied,Dance Class,1,,2018/06/30 00:00:00,FY 2018
221,R_1QJDEP0N3yk9yG2,2016/08/31 07:12:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
222,R_1LuGLb5PIo3YD9k,2017/06/15 12:07:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
223,R_1QL5bBoTh6Chblx,2017/06/14 09:53:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
224,R_1LvDAqUs2MuJdTU,2017/06/15 15:01:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
225,R_1QLb7pRecOdUkHZ,2017/06/22 23:23:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
226,R_1LwdLPh6TX3jRUo,2017/06/13 19:41:00,1,1,Very Satisfied,Music Program,1,,2017/06/30 00:00:00,FY 2017
227,R_1QlncrbfmqQvpJH,2017/06/29 20:36:59,1,2,Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
228,R_1LYiMVOmPCcQEfj,2018/06/27 03:17:59,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
229,R_1QrropZu0mtPeV7,2017/06/15 08:45:00,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
230,R_1lz6eTJu131WuVU,2016/08/30 20:25:00,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
231,R_1QsaigIyMXXktlh,2017/06/13 18:24:00,1,3,Neutral,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
232,R_1M4D6dmo6xNRMsc,2018/06/26 08:58:00,1,1,Very Satisfied,Adaptive Adult,1,,2018/06/30 00:00:00,FY 2018
233,R_1QtncafOXl0C0k3,2018/05/30 15:52:00,1,4,Dissatisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
234,R_1mITpm0n8Tpo8YP,2017/06/13 13:04:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
235,R_1qWAseB2eK5HIlM,2017/06/13 11:48:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
236,R_1mIZm3Xg63oPXCr,2017/06/13 11:35:00,1,3,Neutral,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
237,R_1QznWiVXOFbC4Cr,2017/06/14 12:43:00,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
238,R_1mJxPA1xTEWW0JY,2017/06/14 07:43:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
239,R_1r66RpO6eLRvVkj,2018/06/26 09:35:00,1,1,Very Satisfied,Dance Class,1,,2018/06/30 00:00:00,FY 2018
240,R_1r7AOJaLFzXTu8w,2017/06/14 20:03:59,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
241,R_1r7DaT1wWCG9cBd,2018/06/26 15:56:59,1,3,Neutral,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
242,R_1r8mQpSmksIhbTd,2017/06/13 11:29:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
243,R_1r8noTox6la1RCq,2017/06/14 18:00:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
244,R_1r9r6qTveYfQQrW,2017/06/13 17:13:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
245,R_1rDNAdmqp29dmIY,2016/08/31 07:47:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
246,R_1rek8COtSexGIB8,2017/06/13 15:24:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
247,R_1rHOg0ZR7gNf8og,2016/08/31 06:56:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
248,R_1rI9RDg7xBi5lwM,2017/06/15 17:42:59,1,4,Dissatisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
249,R_1Rjuvp5brCSRtMl,2018/06/12 14:07:59,1,5,Very Dissatisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
250,R_1rJvnjT7mcZSMSW,2017/06/13 18:52:00,1,5,Very Dissatisfied,Maniakz Program,1,,2017/06/30 00:00:00,FY 2017
251,R_1rlxLvplG3mNJNg,2017/06/21 06:59:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
252,R_1rNfOo6Q1ljC4Dp,2018/06/26 08:51:00,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
253,R_1rO2Ff6cVXAraWO,2017/06/14 09:46:59,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
254,R_1rP7PRwoHW0GJkj,2016/08/30 16:47:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
255,R_1rPVGUMeMLbFDXf,2018/06/26 20:38:00,1,1,Very Satisfied,Education Program,1,,2018/06/30 00:00:00,FY 2018
256,R_1rqC0tBkmUP55Sf,2017/06/14 15:45:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
257,R_1rqqHm6j0Lk7j64,2017/06/14 07:25:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
258,R_1rqZYGmS6xoUEGt,2017/06/13 12:11:59,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
259,R_1rv9AS5C6qehpwI,2017/06/13 11:35:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
260,R_1TaVMi4ws44OZln,2017/06/13 18:08:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
261,R_20ruK83uIm8yLAJ,2017/06/14 07:44:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
262,R_20SwdmrwbGMLwto,2017/06/13 13:09:00,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
263,R_20TBdL8lEB73LGz,2017/06/13 19:17:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
264,R_20TYDYG03dhUBNe,2017/06/13 12:00:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
265,R_20U98wxQRPWGc4k,2017/06/13 13:50:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
266,R_211bm1A2RJmPcvx,2017/06/13 12:37:59,1,2,Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
267,R_214DplSbxAwaguG,2017/06/14 09:03:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
268,R_21bQVJONCQW9fKA,2018/06/26 10:17:00,1,2,Satisfied,Music Program,1,,2018/06/30 00:00:00,FY 2018
269,R_21GwuPDaZKoOTYt,2018/06/26 10:12:59,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
270,R_1go8EgSWgOrtxPv,2017/06/13 12:53:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
271,R_1mLfbec8GNVH5MV,2017/06/14 18:56:59,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
272,R_1gOBu87KhEuLbCy,2018/06/26 08:19:00,1,3,Neutral,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
273,R_1MMbCv7u9X7mEBr,2017/06/14 08:03:00,1,3,Neutral,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
274,R_1GP6whkpuTuILdb,2017/06/14 05:58:59,1,3,Neutral,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
275,R_1mmzy66d8SPptAw,2017/06/13 20:26:00,1,3,Neutral,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
276,R_1gpULy40C4mUCmH,2018/06/26 09:26:00,1,2,Satisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
277,R_1MNfl9W374JQRfe,2017/06/13 14:41:00,1,2,Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
278,R_1GQCmhnFEtAvG7Z,2017/06/16 07:22:59,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
279,R_1mQW6yHselmj77f,2017/06/14 19:47:59,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
280,R_1GT5MMBIhDIlfFB,2018/06/26 08:47:00,1,1,Very Satisfied,Education Program,1,,2018/06/30 00:00:00,FY 2018
281,R_1MR1DbApo0NipE6,2017/06/15 16:17:00,1,2,Satisfied,Music Program,1,,2017/06/30 00:00:00,FY 2017
282,R_1GTH6UEK1kLUWd3,2017/06/15 12:49:59,1,1,Very Satisfied,Music Program,1,,2017/06/30 00:00:00,FY 2017
283,R_1MR1HVIO6DIFBLJ,2017/06/13 11:25:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
284,R_1GU1qRTb8RXYBEd,2017/06/13 15:11:59,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
285,R_1mr79EfLtSyJXI7,2017/06/13 11:41:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
286,R_1GUNI8UcySLZ7uH,2017/06/13 11:26:59,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
287,R_1mtjcRoCzJqy5T4,2018/06/26 10:21:59,1,3,Neutral,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
288,R_1mWd3l55CdShU42,2018/06/26 10:25:00,1,1,Very Satisfied,Education Program,1,,2018/06/30 00:00:00,FY 2018
289,R_1MWgFbYh24I9IsS,2018/06/26 09:11:59,1,3,Neutral,Sports Instruction Classes,1,,2018/06/30 00:00:00,FY 2018
290,R_1MX1pcOMUr4EqmN,2018/06/26 14:42:00,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
291,R_1MYX0ftc8oiM3VI,2018/06/26 10:51:59,1,5,Very Dissatisfied,Adaptive Youth,1,,2018/06/30 00:00:00,FY 2018
292,R_1mzm9Vd3k42CJ6q,2017/06/18 10:08:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
293,R_1n0WBkybGAOlbQ3,2017/06/13 13:17:00,1,2,Satisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
294,R_1N4Ic2RTpHVT4Gx,2016/08/30 18:40:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
295,R_1n8e0dHsH1ktldY,2017/06/16 08:21:00,1,1,Very Satisfied,Martial Arts,1,,2017/06/30 00:00:00,FY 2017
296,R_1n8G07HMxS7QtXZ,2017/06/22 06:01:00,1,1,Very Satisfied,Martial Arts,1,,2017/06/30 00:00:00,FY 2017
297,R_1N95663NRHqGmCn,2017/06/19 14:35:00,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
298,R_1NCwDrlVziC2FCY,2017/06/14 09:33:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
299,R_1NCWJgJxkLWIx3B,2017/06/20 19:31:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
300,R_1Nkr9tvNGTUlKXf,2017/06/21 12:42:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
301,R_1NkXaFQU5xIaktz,2017/06/15 07:05:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
302,R_1NndNYaR0d0L2r7,2018/06/26 08:48:00,1,3,Neutral,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
303,R_1nPKAhZhVbsr2z5,2017/06/13 18:14:59,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
304,R_1nZaBVNjDaNFi2i,2017/06/13 12:11:59,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
305,R_1NzFvXThPtI5n61,2016/08/30 21:10:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
306,R_1o0WfG2LSpizPYE,2017/06/14 08:13:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
307,R_1o861TINBdKcIcQ,2018/06/26 16:37:00,1,2,Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
308,R_1obVo3gcMq2tP0k,2018/06/26 08:54:00,1,5,Very Dissatisfied,Dance Class,1,,2018/06/30 00:00:00,FY 2018
309,R_1oC13SCRwfPp4mF,2017/06/15 00:14:59,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
310,R_1GVclGPrJf12xUd,2018/06/26 11:03:00,1,4,Dissatisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
311,R_1GvHejYhvKHxFHK,2017/06/13 11:44:00,1,2,Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
312,R_1Gviq4byOZQH4L1,2018/06/26 09:59:59,1,1,Very Satisfied,Education Program,1,,2018/06/30 00:00:00,FY 2018
313,R_1GWkr3GiT8AmIS6,2018/06/26 09:27:59,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
314,R_1GZyQNIowXMvYXn,2018/06/27 03:03:00,1,5,Very Dissatisfied,Dance Class,1,,2018/06/30 00:00:00,FY 2018
315,R_1H0S4ckh9b0zEvI,2018/06/26 10:31:00,1,3,Neutral,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
316,R_1H1pLcjjZIPX8Hc,2018/05/31 06:23:00,1,1,Very Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
317,R_1H1wlE784TdI0Kr,2017/06/13 12:35:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
318,R_1H8e7UMWddPJ8Sa,2018/06/26 10:31:00,1,1,Very Satisfied,Adaptive Adult,1,,2018/06/30 00:00:00,FY 2018
319,R_1hA3JIz63RavnRw,2017/06/17 19:25:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
320,R_1HbYKNGKXm6RNCv,2017/06/13 14:51:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
321,R_1hFHcucIDcnPCim,2018/06/26 08:44:00,1,1,Very Satisfied,Education Program,1,,2018/06/30 00:00:00,FY 2018
322,R_1HiaBBHjHU9OYGN,2017/06/14 09:53:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
323,R_1hK08KdOcilxkSO,2017/06/16 01:25:59,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
324,R_1HkFBTYKyR7VYZC,2017/06/17 21:48:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
325,R_1hL5bE6SpYyV39y,2017/06/15 08:19:00,1,4,Dissatisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
326,R_1hRuQxM3HIpMJpZ,2017/06/13 12:37:59,1,3,Neutral,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
327,R_1hSAaYKhvYO0KR6,2017/06/13 17:38:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
328,R_1hW2zERjIIolRkq,2017/06/13 12:35:00,1,2,Satisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
329,R_1hxPzjteke2ZVFq,2017/06/13 21:53:59,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
330,R_1hYXLRiBzvOxabG,2017/06/13 12:30:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
331,R_1hzG0Skw5mrNGP9,2018/05/30 11:57:00,1,4,Dissatisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
332,R_1i3B9deTZaMTLQe,2017/06/13 14:34:00,1,3,Neutral,Education Program,1,,2017/06/30 00:00:00,FY 2017
333,R_1I6DUicvdUwshTM,2017/06/13 11:22:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
334,R_1i9hIOeicHh9oen,2017/06/13 11:13:59,1,2,Satisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
335,R_1i9ZaZHx4Q7yIUD,2017/06/18 19:36:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
336,R_1IAe0gR2ewwtQYx,2016/08/30 16:44:59,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
337,R_1IAHBq8g3VrS9fv,2017/06/13 12:46:59,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
338,R_1IBgIz81d2iitrJ,2018/06/26 15:53:59,1,2,Satisfied,Dance Class,1,,2018/06/30 00:00:00,FY 2018
339,R_1IcoeNyW3tBpJCe,2017/06/14 09:10:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
340,R_1igjOFIPljLqMqq,2017/06/13 12:46:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
341,R_1ihAPgCF0sZRUGM,2017/06/13 12:01:59,1,1,Very Satisfied,Martial Arts,1,,2017/06/30 00:00:00,FY 2017
342,R_1IhfKEyzXyFkUoU,2016/08/31 20:45:00,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
343,R_1Ii2QL0Zzqwn5CC,2016/08/30 19:25:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
344,R_1IlQMFFp9efosMb,2017/06/15 22:57:00,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
345,R_1IMo39Pshb32VVd,2017/06/14 10:20:00,1,4,Dissatisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
346,R_1In3ICpPKYu0dx3,2017/06/13 18:36:59,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
347,R_1inEOCJl0kjBjhb,2016/08/30 17:10:59,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
348,R_1IoY6VMB0X4OAW0,2017/06/21 19:05:59,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
349,R_1Ipf7Ydhn1Bhext,2017/06/21 12:42:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
350,R_1IQzcu3ZwQ08xOt,2018/06/26 13:02:59,1,2,Satisfied,Music Program,1,,2018/06/30 00:00:00,FY 2018
351,R_1OCQqTECFdaaLp5,2017/06/13 15:58:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
352,R_1OCvVjJXdgGS1G8,2018/06/26 14:23:00,1,1,Very Satisfied,Fitness Class,1,,2018/06/30 00:00:00,FY 2018
353,R_1oedat6T9b3uxul,2018/07/02 12:49:00,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
354,R_1oFippxTJALtLUi,2017/06/14 04:17:00,1,1,Very Satisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
355,R_1ogUj1mxW8ucjgz,2017/06/13 11:45:59,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
356,R_1ogVjPO1ejFxrz3,2016/08/30 18:39:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
357,R_1ogWER9ywVlZrs1,2018/07/04 19:06:59,1,2,Satisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
358,R_1OHzy8soz5Nhoqw,2017/06/15 09:24:59,1,3,Neutral,Dance Class,1,,2017/06/30 00:00:00,FY 2017
359,R_1OiVutfK3uVgNtv,2018/06/26 09:40:00,1,2,Satisfied,Adaptive Adult,1,,2018/06/30 00:00:00,FY 2018
360,R_1oj4YOF9sV7ywPc,2017/06/13 11:32:59,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
361,R_1Ok7A4RgI8u015x,2017/06/16 08:35:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
362,R_1oo5sqTx2ptl1X6,2018/06/26 13:27:00,1,2,Satisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
363,R_1ooKnfnV3EOfO8U,2017/06/21 07:53:00,1,2,Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
364,R_1Oq4gewIt2RZFXm,2018/06/26 08:23:59,1,1,Very Satisfied,Maniakz Program,1,,2018/06/30 00:00:00,FY 2018
365,R_1OqlPIhlpIM7xrB,2017/06/13 14:58:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
366,R_1otzSJVEagwXYgC,2017/06/17 19:28:00,1,3,Neutral,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
367,R_1OWbe1kYBQeE52h,2017/06/13 16:15:59,1,2,Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
368,R_1OwdmSRegpnebjF,2017/06/13 13:14:00,1,3,Neutral,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
369,R_1OwNFTHHrXyzfiC,2017/06/14 16:51:59,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
370,R_1OZxwyDSZJN3aEd,2017/06/17 07:53:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
371,R_1P0MBzyYf2agg94,2018/06/28 06:23:00,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
372,R_1P7efn97vo1AWWe,2017/06/14 13:31:59,1,2,Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
373,R_1P7xvFz2uHbSair,2018/06/27 09:14:00,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
374,R_1pGbKYn20rpwHkb,2017/06/16 08:26:59,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
