Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance
Recreation,Council Member Holden,05/18/2019 01:00:00 PM,Queens,Playground,Rosemarys Playground,Spring Festival at Rosemarys Playground,Local Event,Family Festival,Play,General Public,1200
Recreation,Family Day at Mauro Playground,05/19/2019 01:00:00 PM,Queens,Playground,Mauro Playground,Family Day at Mauro Playground,Local Event,Family Festival,Play,General Public,600
Recreation,Council Member Holden,05/25/2019 01:00:00 AM,Queens,Park,Frank Principe Park,Spring Festival at Frank Principe Park,Local Event,Family Festival,Play,General Public,400
Recreation,Council Member Lanceman,05/26/2019 01:00:00 PM,Queens,Playground,Ponomok Playground,Family Day at Ponomok Playground,Local Event,Family Festival,Play,General Public,250
Recreation,Council Member Adrienne Adams,06/02/2019 01:00:00 PM,Queens,Park,Baisley Park Extension,District 28 Day,Local Event,Family Festival,Play,General Public,190
Recreation,Council Member Daneek Miller,06/06/2019 12:00:00 PM,Queens,Playground,Skating Day at Daniel O’Connell,Skating Day at Daniel O’Connell,Local Event,Family Festival,Play,General Public,200
Recreation,Council Member Rory Lancman,06/08/2019 01:00:00 PM,Queens,Playground,Utopia Playground,Fresh Meadows Family Day,Local Event,Family Festival,Play,General Public,350
Recreation,Queensboro Dance Festival,06/08/2019 06:00:00 PM,Queens,Playground,Beach 17th Playground,Queensboro Dance Festival,Open House,Arts/Culture,AC&F,General Public,80
Recreation,"Council Member Rory Lancman, Briarwood Community Association and Archbishop Molloy High School",06/09/2019 01:00:00 PM,Queens,Playground,Hoover Manton Playground,Briarwood Family Day,Community Based Event,Family Festival,Play,General Public,1000
Aquatics,Brooklyn Recreation,05/10/2019 09:00:00 AM,Brooklyn,Recreation Center,Brownsville Recreation Center,Senior Games,Tournament/Competition,Sport,Tier 1,Seniors,102
Aquatics,,05/05/2019 09:45:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,Masters Meet,Tournament/Competition,Sport,Tier 1,Young Adult;#Adults;#Seniors,254
Aquatics,Bronx Recreation,05/31/2019 10:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,Senior Swim Olympics,Tournament/Competition,Sport,Aquatics,Seniors,116
Aquatics,,05/19/2019 10:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,Borough Cup Championship,Tournament/Competition,Sport,Tier 1,Children;#General Public,928
Aquatics,,04/28/2019 09:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,High Point 3,Tournament/Competition,Sport,Tier 1,Children;#General Public,1288
Aquatics,,03/24/2019 09:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,High Point  2,Tournament/Competition,Sport,Tier 1,Children;#General Public,1047
Aquatics,,12/02/2018 09:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,High Point 1,Tournament/Competition,Sport,Tier 1,Children;#General Public,1255
Recreation,,04/26/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Art Inspired by Rail Martinez,Community Based Event,Arts/Culture,,General Public,12
Recreation,Jazz Foundation,04/27/2019 01:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Make Your Mark: Character Design Workshop,Community Based Event,Arts/Culture,AC&F,General Public,4
Recreation,Strictly Tango,05/01/2019 07:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango Series,Community Based Event,Arts/Culture,Dance,General Public,29
Recreation,Jazz Foundation,05/02/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,65
Recreation,,05/02/2019 06:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,Shape-Up: Silent Disco,Community Based Event,Fitness,Dance,General Public,185
Recreation,Jazz Foundation,05/03/2019 06:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,69
Recreation,,05/04/2019 09:00:00 PM,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,Table Tennis Challenge,Community Based Event,Sport,,General Public,12
Recreation,Jazz Foundation,05/09/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,70
Recreation,,05/10/2019 06:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,A Mother's Love Paint Excusrion,Community Based Event,Arts/Culture,,General Public,21
Recreation,Community Board 3,06/08/2019 10:00:00 AM,Queens,Park,Junction Playground,Community Board 3 Health Fair,Community Based Event,Mobile Unit,Play,General Public,75
Recreation,Bike NYC,05/25/2019 11:00:00 AM,Queens,Park,Arverne Playground,Learn to Ride,Community Based Event,Sport,,Children;#Teens,19
Recreation,Bike NYC,05/18/2019 11:00:00 AM,Queens,Park,Grover Cleveland Park,Learn to Ride,Community Based Event,Sport,,Children;#Teens,23
Recreation,,05/11/2019 12:30:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,She Got Game,Community Based Event,Fitness,,Adults;#Teens;#Seniors;#General Public,6
Recreation,,05/11/2019 12:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Sports Spectacular,Community Based Event,Sport,,General Public,10
Recreation,,05/15/2019 05:00:00 PM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Senior Game Night,Community Based Event,Fitness,,Seniors,2
Recreation,Jazz Foundation,05/16/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,90
Recreation,,05/17/2019 04:00:00 PM,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,Teen Fitness Challenge,Community Based Event,Fitness,Fitness,Teens,12
Recreation,,05/18/2019 12:30:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Self-Care for Mothers and Families,Community Based Event,Family Festival,,General Public,85
Recreation,Jazz Foundation,05/11/2019 01:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,40
Recreation,Council Member Kallos,05/11/2019 01:00:00 PM,Manhattan,Park,Andrew Haswell Green Park,Jazz Concert: Lara Bello,Community Based Event,Arts/Culture,AC&F,General Public,85
Recreation,,06/11/2019 11:00:00 AM,Manhattan,Park,John Jay Park,Learn to Ride,Community Based Event,Fitness,,Children;#Young Adult;#Teens,35
Recreation,Council Member Rosenthal,06/04/2019 07:00:00 PM,Manhattan,Playground,Samuel N. Bennerson 2nd Playground,Movie: Fantastic Beasts: The Crimes of Grindlewald,Community Based Event,Mobile Unit,M.U.T.S,Adults;#Teens;#Young Adult;#General Public,246
Recreation,,06/05/2019 06:30:00 PM,Manhattan,Recreation Center,Recreation Center 54,Daughter and Father Cotillion,Community Based Event,Family Festival,,Children;#Young Adult;#Teens;#Adults,48
Urban Park Rangers,National Park Service,06/12/2019 10:00:00 AM,Brooklyn,Park,Canarsie Park,Seining,Agency Produced Event,Fitness,Aquatics,Adults,10
Recreation,Council Member Levine,06/06/2019 07:00:00 PM,Manhattan,Park,Carmansville Park,Movie: Green Book,Community Based Event,Mobile Unit,M.U.T.S,General Public;#Teens;#Adults,290
Recreation,Jazz Foundation,06/06/2019 06:00:00 PM,Manhattan,Park,Marcus Garvey Park,Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,350
Recreation,,06/07/2019 05:30:00 PM,Manhattan,Park,J. Hood Wright Park,Studio 351 Dancethone 3: The Sound of Disco,Community Based Event,Fitness,Dance,Adults;#Teens;#General Public,25
Recreation,Musuem of Chinese in America,06/07/2019 07:00:00 PM,Manhattan,Park,Columbus Park,Movie: Kung Fu Panda,Community Based Event,Mobile Unit,M.U.T.S,Children;#Young Adult;#General Public,325
Recreation,,06/08/2019 08:30:00 PM,Staten Island,Park,Great Kills Park,Iron Man 2 (2010),Community Based Event,Mobile Unit,M.U.T.S,General Public,70
Recreation,Cherry Orchard Festival,06/07/2019 08:30:00 PM,Staten Island,Park,Wolfe's Pond Park,Anna Karenina: Vronsky's Story (2017),Community Based Event,Mobile Unit,M.U.T.S,General Public,125
Recreation,,06/01/2019 08:30:00 PM,Staten Island,Park,Willowbrook Park,Iron Man (2008),Community Based Event,Mobile Unit,M.U.T.S,General Public,75
Recreation,Harlem Dance Society,06/08/2019 01:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance Club Workshop,Community Based Event,Arts/Culture,Dance,Adults;#Teens;#Young Adult;#General Public,60
Recreation,,06/08/2019 11:00:00 AM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Live, Laugh, Love Fitness Expo",Community Based Event,Fitness,Fitness,General Public;#Adults;#Young Adult;#Seniors,166
Recreation,Council Member Ben Kallos,06/08/2019 01:00:00 PM,Manhattan,Park,John Jay Park,Family Day,Community Based Event,Family Festival,,General Public;#Tot;#Children,778
Recreation,Council Member Ben Kallos,06/08/2019 01:00:00 PM,Manhattan,Park,Ruppert Park,Jazz Concert: Blue Dahlia,Community Based Event,Arts/Culture,AC&F,General Public,212
Recreation,Council Member Diana Ayala,06/08/2019 08:00:00 PM,Manhattan,Playground,Wagner Playground,Movie: Infinity War,Community Based Event,Mobile Unit,M.U.T.S,Teens;#Adults;#Young Adult;#General Public,281
Recreation,,05/31/2019 08:30:00 PM,Staten Island,Park,CPL. Thompson Park,Creed II (2018),Community Based Event,Mobile Unit,M.U.T.S,General Public,45
Recreation,,05/25/2019 08:30:00 PM,Staten Island,Park,Police Officer Russel Timoshenko Soccer Field,Jaws (1975),Community Based Event,Mobile Unit,M.U.T.S,General Public,75
Recreation,,05/24/2019 07:00:00 PM,Staten Island,Recreation Center,Ocean Breeze Athletic Complex,The Lego Ninjago Movie (2017),Community Based Event,Mobile Unit,M.U.T.S,General Public,45
Recreation,,05/18/2019 08:00:00 PM,Staten Island,Park,Father Macris Park,Bumblebee (2018),Community Based Event,Mobile Unit,M.U.T.S,General Public,65
Recreation,,05/17/2019 07:30:00 PM,Staten Island,Park,Wolfe's Pond Park,Incredibles II (2018),Community Based Event,Mobile Unit,M.U.T.S,General Public,35
Recreation,,05/11/2019 07:30:00 PM,Staten Island,Park,Clove Lakes Park,Solo: A Star Wars Story (2018),Community Based Event,Mobile Unit,M.U.T.S,General Public,40
Recreation,Jazz Foundation of America,06/07/2019 06:30:00 PM,Brooklyn,Recreation Center,Sunset Park Recreation Center,Latin Jazz Concert,Community Based Event,Family Festival,Music,General Public,625
Recreation,Skaterobics,06/08/2019 12:00:00 PM,Brooklyn,Playground,Harry Maze Playground,Community Skate,Community Based Event,Arts/Culture,Dance,Children;#Young Adult;#Adults;#Teens;#Seniors;#Adaptive;#General Public,75
Recreation,Councilman Brannan,06/08/2019 08:30:00 PM,Brooklyn,Park,John Paul Jones Park,Saturday Night Fever,Community Based Event,Mobile Unit,M.U.T.S,Young Adult;#Adults;#Teens;#Seniors;#General Public,225
Recreation,"Councilman Brannan, Sound Off",05/31/2019 07:30:00 PM,Brooklyn,Other,American Veterans Memorial Pier,Silent Disco,Community Based Event,Mobile Unit,Music,Young Adult;#Adults;#Teens;#Seniors;#General Public,550
Recreation,Councilman Brannan,06/01/2019 08:30:00 PM,Brooklyn,Park,McKinley Park,Mary Poppins,Community Based Event,Mobile Unit,M.U.T.S,Tot;#Children;#Young Adult;#Teens;#Adults;#General Public;#Adaptive;#Seniors,200
Recreation,International Heritage Puerto Rican Film Festival,06/07/2019 08:30:00 PM,Brooklyn,Park,Sunset Park,Vote For Me,Community Based Event,Mobile Unit,M.U.T.S,Young Adult;#Adults;#Teens;#Seniors,500
Recreation,NYCParks,03/29/2019 04:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Women's History Month Art Exhibition,Community Based Event,Arts/Culture,AC&F,Adults;#Young Adult;#Seniors;#General Public,160
Recreation,NYCPARKS,04/26/2019 10:00:00 AM,Manhattan,Recreation Center,Asser Levy Recreation Center,Health And Wellness Fitness Expo,Community Based Event,Fitness,Fitness,Young Adult;#Adults;#Seniors,43
Recreation,NYC Parks,05/15/2019 04:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Children's Art Exploration  Exhibition,Community Based Event,Arts/Culture,AC&F,Children;#Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive,80
Recreation,"CM Dromm, Jackson Heights Beautification Group",06/08/2019 08:30:00 PM,Queens,Park,Travers Park,The LEGO Movie 2: The Second Part,Community Based Event,Mobile Unit,M.U.T.S,General Public,300
Recreation,CM Koo,06/07/2019 08:30:00 PM,Queens,Playground,Colden Playground,How to Train Your Dragon: The Hidden World,Community Based Event,Mobile Unit,M.U.T.S,General Public,300
Recreation,CM Kozlowitz,06/03/2019 08:30:00 PM,Queens,Playground,Russell Sage Playground,Ralph Breaks the Internet,Community Based Event,Mobile Unit,M.U.T.S,General Public,160
Recreation,"Friends of Raimonda Park, CM Constantinides",05/31/2019 08:30:00 PM,Queens,Playground,Paul Raimonda Playground,E.T.: The Extra-Terrestrial,Community Based Event,Mobile Unit,M.U.T.S,General Public,160
Recreation,,06/08/2019 08:00:00 PM,Bronx,Playground,Lozada Playground,Bumblebee,Community Based Event,Mobile Unit,M.U.T.S,General Public,60
Recreation,,06/10/2019 08:00:00 PM,Bronx,Playground,Van Cortlandt Park-Sachkerah Playground,Green Book (2018),Community Based Event,Mobile Unit,M.U.T.S,General Public,20
Recreation,,06/07/2019 08:00:00 PM,Bronx,Park,Henry Hudson Park,Avengers: Infinity War (2018),Community Based Event,Mobile Unit,M.U.T.S,General Public,30
Urban Park Rangers,Go Green Brooklyn,06/01/2019 12:00:00 PM,Brooklyn,Park,McCarren Park,Go Green Brooklyn,Community Based Event,Family Festival,,General Public,350
Recreation,,06/08/2019 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Teen Fitness Day,Local Event,Fitness,Fitness,Teens,5
Recreation,Public School 129,06/03/2019 11:00:00 AM,Queens,School,"Public School 129  Poppenhusen Ave, College Point 11356",2nd Grade School Fair,Community Based Event,Mobile Unit,Play,Children,83
Recreation,Public School 134Q,06/07/2019 11:00:00 AM,Queens,School,203-06 109th avenue,Public School Street Fair,Community Based Event,Mobile Unit,Play,Children;#Adaptive,217
Urban Park Rangers,Forest Park,06/04/2019 11:00:00 AM,Queens,Park,Highland Park Children's Garden,Kids Day at the Garden,Community Based Event,Family Festival,,Tot;#Children;#Young Adult,70
Recreation,Council Member Kallos,06/01/2019 06:30:00 PM,Manhattan,Park,Carl Schurz Park,Movies Under the Stars: Mary Poppins Returns,Community Based Event,Mobile Unit,M.U.T.S,General Public;#Adults;#Young Adult;#Children,325
Recreation,Speaker Corey Johnson,05/31/2019 06:30:00 PM,Manhattan,Park,Chelsea Park,Movies Under the Stars: Bumblebee,Community Based Event,Mobile Unit,M.U.T.S,General Public;#Teens;#Adults,165
Recreation,Jazz Foundation,06/01/2019 05:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,AC&F Jazz Concert Series with Eddie Allen,Community Based Event,Arts/Culture,AC&F,General Public,125
Recreation,Harlem Dance Club,06/01/2019 01:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Afro-Dance New York,Community Based Event,Arts/Culture,Dance,General Public,55
Recreation,Council Member Keith Powers,06/01/2019 12:00:00 AM,Manhattan,Park,St. Vartan Park,Family Fun Day,Community Based Event,Family Festival,,General Public;#Children;#Tot;#Teens,1150
Recreation,,05/31/2019 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,AC&F Jazz Concert Series with Ginetta Vendetta,Community Based Event,Arts/Culture,AC&F,General Public,82
Recreation,,05/31/2019 04:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Final Four Fridays,Community Based Event,Sport,Fitness,Teens,32
Recreation,,05/31/2019 07:00:00 PM,Manhattan,Recreation Center,Recreation Center 54,Talent Unlimited,Community Based Event,Performance,,General Public,61
Recreation,,05/31/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Art Inspired by Peju Altise,Community Based Event,Arts/Culture,AC&F,General Public,15
Recreation,The Jazz Foundation,05/30/2019 06:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,AC&F Jazz Concert Series with Aurhur Green,Community Based Event,Arts/Culture,AC&F,General Public;#Seniors;#Adults,40
Recreation,,05/29/2019 07:00:00 AM,Manhattan,Recreation Center,Chelsea Recreation Center,National Senior Health Fitness Day,Community Based Event,Fitness,Fitness,Seniors,150
Recreation,,05/29/2019 06:00:00 PM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired By Evita Tezeno,Community Based Event,Arts/Culture,AC&F,General Public,20
Recreation,,06/03/2019 06:00:00 PM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Alfred E. Smith 2019 Badminton Doubles Tournament,Tournament/Competition,Sport,Tier 3,Adults,30
Recreation,TIDE Film Festival,05/31/2019 12:00:00 AM,Brooklyn,Park,Fort Greene Park,TIDE Film Festival,Community Based Event,Mobile Unit,M.U.T.S,General Public,312
Recreation,Councilman Brannan,05/19/2019 08:00:00 PM,Brooklyn,Playground,Lt. Joseph Petrosino Park,Ralph Breaks the Internet(2018),Community Based Event,Mobile Unit,M.U.T.S,General Public,252
Recreation,Councilman Brannan,05/18/2019 08:00:00 AM,Brooklyn,Park,Bensonhurst Park,Incredibles 2(2018),Community Based Event,Mobile Unit,M.U.T.S,General Public,179
Recreation,,05/17/2019 08:00:00 AM,Brooklyn,Park,Bush-Clinton Playground,Spider-Man:Into the Spider-Verse(2018),Community Based Event,Mobile Unit,M.U.T.S,General Public,115
Recreation,,05/10/2019 08:30:00 AM,Brooklyn,Park,Sunset Park,Crazy Rich Asians(2018),Community Based Event,Mobile Unit,M.U.T.S,General Public,75
Recreation,Councilman Deutsch,04/23/2019 08:00:00 PM,Brooklyn,Other,Manhattan Beach Parking Lot,Beauty and the Beast(2017),Community Based Event,Mobile Unit,M.U.T.S,General Public,200
Recreation,,06/01/2019 08:00:00 PM,Bronx,Park,St. James Park,Movies Under the Stars,Community Based Event,Mobile Unit,,General Public,60
Recreation,,05/31/2019 08:00:00 PM,Bronx,Playground,Woodlawn Playground,Movies Under the Stars,Community Based Event,Mobile Unit,,General Public,50
Recreation,,05/31/2019 08:00:00 PM,Bronx,Playground,Dawson Playground,Movies Under the Stars,Community Based Event,Mobile Unit,,General Public,140
Urban Park Rangers,Greenbelt Conservancy,06/01/2019 11:00:00 AM,Staten Island,Park,Willowbrook Park,Outdoor Adventure Day,Agency Produced Event,Family Festival,,General Public,120
Recreation,,05/31/2019 04:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Final Four Fridays,Tournament/Competition,Sport,Fitness,Teens,32
Recreation,NYCParks,05/17/2019 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired: Curtis Kulig,Community Based Event,Arts/Culture,AC&F,Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public;#Children,16
Recreation,NYCParks,04/19/2019 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired: Andy Warhol,Community Based Event,Arts/Culture,AC&F,Children;#Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive,25
Recreation,"Friends of Cunningham, Council Member Grodechik",05/27/2019 12:00:00 AM,Queens,Park,Cunningham Park,Coming to America,Community Based Event,Mobile Unit,M.U.T.S,General Public,30
Recreation,Council Member Koo,05/24/2019 08:30:00 PM,Queens,Park,Kissena Corridor Park,The LEGO Movie 2: The Second Part,Community Based Event,Mobile Unit,M.U.T.S,General Public,150
Recreation,Council Member Kotlowitz,05/26/2019 08:30:00 PM,Queens,Park,Yellowstone Park,Mary Poppins Returns,Community Based Event,Mobile Unit,M.U.T.S,General Public,145
Recreation,Council Member Adams,05/25/2019 08:30:00 PM,Queens,Playground,Frederick B. Judge Playground,Spiderman: Into the Spiderverse,Community Based Event,Mobile Unit,M.U.T.S,General Public,30
Recreation,Council Member Constantinides,05/18/2019 08:30:00 PM,Queens,Playground,Hallets Cove Playground,Spiderman: Into the Spiderverse,Community Based Event,Mobile Unit,M.U.T.S,General Public,68
Recreation,Council Member Dromm,05/17/2019 08:30:00 PM,Queens,Playground,Frank D. O'Connor Playground,Mary Poppins Returns,Community Based Event,Mobile Unit,M.U.T.S,General Public,173
Recreation,Council member Johnson,05/25/2019 06:00:00 PM,Manhattan,Other,William F. Passannante Ballfield,Movies Under the Stars: Christopher Robin,Community Based Event,Mobile Unit,M.U.T.S,Children;#General Public,126
Recreation,,05/24/2019 08:00:00 PM,Manhattan,Park,J. Hood Wright Park,Movies Under the Stars: Mary Poppins Returns,Community Based Event,Mobile Unit,M.U.T.S,General Public;#Children;#Young Adult,285
Recreation,Council Member Ayala,05/24/2019 06:00:00 PM,Manhattan,Park,Cherry Tree Park,Movies Under the Stars: Ralph Breaks the Internet,Community Based Event,Mobile Unit,M.U.T.S,Children;#Tot;#Young Adult;#General Public,85
Recreation,Council Member Levine,05/22/2019 06:00:00 PM,Manhattan,Playground,Happy Warrior Playground,Movies Under the Stars: Aquaman,Community Based Event,Mobile Unit,M.U.T.S,Adults;#Young Adult;#Teens;#General Public,160
Recreation,Council Member Kallos,05/25/2019 04:00:00 PM,Manhattan,Playground,Stanley Isaacs Playground,Skate Night on the Upper East Side,Community Based Event,Family Festival,,Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public,185
Recreation,,05/25/2019 01:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,MakerSpace: Build Your Own Glider,Community Based Event,Arts/Culture,AC&F,Children;#Teens,30
Recreation,Jazz Foundation of America,05/24/2019 06:00:00 PM,Manhattan,Park,J. Hood Wright Park,Jazz Concert with Joaquin Pozo y La Clav Suena,Community Based Event,Arts/Culture,AC&F,General Public,350
Recreation,Jazz Foundation of America,05/23/2019 06:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Jazz Concert with Marjorie Elliot and Friends,Community Based Event,Arts/Culture,AC&F,General Public,80
Recreation,,05/22/2019 06:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,FIt Fest 2019,Community Based Event,Fitness,Fitness,General Public,45
Recreation,,05/22/2019 11:00:00 AM,Manhattan,Recreation Center,Asser Levy Recreation Center,Golden Games,Community Based Event,Fitness,Fitness,Seniors,16
Recreation,,05/25/2019 08:00:00 PM,Bronx,Park,Tremont Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0
Recreation,,05/24/2019 08:00:00 PM,Bronx,Park,Frisch Field,Movies Under the Stars,Community Based Event,Mobile Unit,,General Public,20
Recreation,,05/24/2019 08:00:00 PM,Bronx,Playground,Playground 52 LII,Movies Under the Stars,Community Based Event,Mobile Unit,,General Public,150
Recreation,,05/22/2019 06:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Fit Fest 2019,Community Based Event,Fitness,Fitness,Young Adult;#Adults;#Seniors;#General Public,45
Recreation,Council Member Kallos,05/18/2019 08:00:00 PM,Manhattan,Park,John Jay Park,Movies Under the Stars: The Incredibles 2,Community Based Event,Mobile Unit,M.U.T.S,Children;#Teens;#General Public,385
Recreation,Council Member Johnson,05/17/2019 08:00:00 PM,Manhattan,Park,De Witt Clinton Park,Movies Under the Stars: SmallFoot,Community Based Event,Mobile Unit,M.U.T.S,Tot;#Children;#Teens;#General Public,135
Recreation,Council Member Levine,05/16/2019 08:00:00 PM,Manhattan,Playground,Booker T. Washington Playground,Movies Under the Stars: Mary Poppins Returns,Community Based Event,Mobile Unit,M.U.T.S,Children;#Adults;#Teens;#Seniors;#General Public,105
Recreation,Councilmember Ben Kallos,05/18/2019 01:00:00 PM,Manhattan,Park,Carl Schurz Park,Family Day,Community Based Event,Family Festival,,Tot;#Children;#Adults;#Teens;#Seniors;#General Public,2015
Urban Park Rangers,Bronxdale High School,05/20/2019 06:00:00 PM,Bronx,School,Bronxdale High School,Bronxdale High School Community Forum,Community Based Event,Academic/Out of School time,Lecture/Panel/Talk,Young Adult;#Teens;#General Public,40
Recreation,,05/18/2019 08:00:00 PM,Bronx,Park,Henry Hudson Park,Movies Under the Stars,Community Based Event,Mobile Unit,M.U.T.S,General Public,40
Recreation,New York Presbyterian,05/18/2019 12:00:00 PM,Manhattan,Recreation Center,Highbridge  Recreation Center,Teens Unite,Community Based Event,Fitness,Lecture/Panel/Talk,Teens,325
Recreation,,05/17/2019 06:00:00 PM,Manhattan,Recreation Center,Hamilton Fish Recreation Center,Hamilton Fish Talent Showcase,Local Event,Performance,Dance,Young Adult;#Adults;#Teens;#Children,25
Recreation,Jazz Association of America,05/17/2019 06:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,"Arts, Culture & Fun: Jazz Foundation concert with Danny Walsh Quartet",Agency Produced Event,Arts/Culture,AC&F,Young Adult;#Adults;#Adaptive;#Seniors;#General Public,85
Recreation,,05/10/2019 05:00:00 PM,Manhattan,Recreation Center,Recreation Center 54,Celebrating Mother's Thru Art,Community Based Event,Arts/Culture,AC&F,Children;#Young Adult;#Adults;#Tot;#Teens;#Adaptive;#Seniors;#General Public,64
Recreation,,04/27/2019 02:00:00 PM,Manhattan,Recreation Center,Recreation Center 54,KEEN Operation Child Safe ID,Community Based Event,Sport,AC&F,Teens;#Young Adult,50
Recreation,NY Presbyterian,05/11/2019 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Community Based Event,Fitness,Fitness,Children;#Tot;#Adults;#Young Adult;#Teens,15
Urban Park Rangers,Freshkills Park,05/11/2019 12:00:00 PM,Staten Island,Park,Freshkills Park,Freshkills Kayak Tour,Local Event,Sport,,General Public,18
Recreation,Bike NYC,05/11/2019 11:00:00 AM,Queens,Playground,Horace Harding Playground,Learn to Ride,Open House,Fitness,Fitness,Teens;#Children,33
Recreation,Council Member Donovan Richards,05/11/2019 01:00:00 PM,Queens,Park,Brookville Park,Spring Thing at Brookville Park,Local Event,Family Festival,Play,General Public,200
Recreation,Art Students League,05/10/2019 06:30:00 PM,Queens,Recreation Center,Al Oerter Recreation Center,Make Your Mark Mandala Workshop,Open House,Arts/Culture,AC&F,General Public,25
Recreation,Jazz Foundation,05/08/2019 02:00:00 PM,Queens,Recreation Center,Roy Wilkins Recreation Center,Jazz Foundation concert with Alvin Flythe,Open House,Arts/Culture,AC&F,General Public,60
Recreation,,05/11/2019 08:00:00 PM,Bronx,Park,Bronx Park,Movies Under The Stars,Community Based Event,Mobile Unit,M.U.T.S,Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,40
Recreation,,05/10/2019 08:00:00 PM,Bronx,Park,Bill Rainey Park,Movies Under The Stars,Community Based Event,Mobile Unit,M.U.T.S,Tot;#Children;#Young Adult;#Adults;#Teens,50
Recreation,Council Member Helen Rosenthal,05/11/2019 07:30:00 PM,Manhattan,Playground,Samuel N. Bennerson 2nd Playground,Movies Under the Stars,Community Based Event,Mobile Unit,M.U.T.S,General Public;#Teens;#Young Adult;#Children;#Adults,100
Recreation,,05/10/2019 07:30:00 PM,Manhattan,Park,Bennett Park,Movies Under the Stars,Community Based Event,Mobile Unit,M.U.T.S,Tot;#Children;#General Public,325
Urban Park Rangers,,05/11/2019 11:00:00 AM,Queens,Recreation Center,Al Oerter Recreation Center,Al Oerter Springfest 2019,Agency Produced Event,Family Festival,,General Public,150
Recreation,,05/04/2019 11:00:00 AM,Queens,Park,Springfield Park,Learn to Ride,Open House,Fitness,Fitness,Children;#Teens;#Young Adult,3
