Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance
Recreation,Harlem Dance Club,05/19/2018 01:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Harlem Dance: Vogue, Pop, Dip, and Spin",Community Based Event,Arts/Culture,Dance,General Public,45
Recreation,,05/18/2018 12:00:00 AM,Manhattan,Park,J. Hood Wright Park,Line Dance for Fittness and Fun,Community Based Event,Fitness,,General Public,20
Recreation,,05/18/2018 06:30:00 AM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Karaoke Night,Community Based Event,Arts/Culture,Music,General Public,27
Recreation,Jazz Foundation of America,05/17/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,35
Recreation,Harlem Dance Club,05/12/2018 01:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance: The Loft Practice,Community Based Event,Fitness,Dance,General Public,20
Recreation,,05/12/2018 12:00:00 AM,Manhattan,Park,J. Hood Wright Park,Tea and Paint: Mother's Day Painting Tea Party,Community Based Event,Family Festival,,Teens;#Tot;#Children;#Adults;#Young Adult,20
Recreation,,05/11/2018 06:00:00 AM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Focus Up, A Coversation with Our Youth",Community Based Event,Academic/Out of School time,Lecture/Panel/Talk,Teens;#Young Adult;#Children,20
Recreation,,05/11/2018 12:00:00 AM,Manhattan,Recreation Center,Asser Levy Recreation Center,Mother's Day Fear Factor,Community Based Event,Family Festival,,Adults;#Children;#Teens;#General Public,16
Recreation,Jazz Foundation of America,05/10/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,45
Recreation,,05/09/2018 06:00:00 AM,Manhattan,Recreation Center,Hamilton Fish Recreation Center,Mother's Tea and Spa Day,Community Based Event,Arts/Culture,,Adults;#Seniors;#Adaptive,30
Recreation,Harlem Dance Club,05/05/2018 02:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance: Capoeira,Community Based Event,Fitness,Dance,General Public,30
Recreation,Jazz Foundation of America,05/03/2018 03:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,60
Recreation,Jazz Foundation of America,05/26/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,,General Public,66
Recreation,,04/28/2018 11:00:00 AM,Manhattan,Park,Thomas Jefferson Park,Street Games,Community Based Event,Fitness,,General Public,
Recreation,,02/28/2018 06:00:00 AM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired by... Robert Indiana,Agency Produced Event,Arts/Culture,,General Public,32
Recreation,,04/24/2018 03:00:00 PM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Earth Day: Recycling,Community Based Event,Academic/Out of School time,,General Public,15
Recreation,,04/22/2018 11:00:00 AM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired By... Takashi Murakami,Agency Produced Event,Arts/Culture,,General Public,16
Recreation,,04/21/2018 09:30:00 AM,Manhattan,Recreation Center,Recreation Center 54,Back to Nature: Recycle Repurpose and Reuse,Community Based Event,Academic/Out of School time,,General Public,25
Recreation,,04/21/2018 09:00:00 AM,Manhattan,Other,"Broadway, Times Square, Union Square",Car Free Earth Day,Community Based Event,Academic/Out of School time,,General Public,
Recreation,Jazz Foundation of America,04/21/2018 10:00:00 AM,Manhattan,Park,Ruppert Park,Jazz Concert,Community Based Event,Arts/Culture,Music,General Public,35
Recreation,,04/20/2018 04:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Earth Day - Park Walkthrough,Community Based Event,Fitness,Fitness,General Public,40
Recreation,The Public Theater,04/20/2018 06:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Henry V,Community Based Event,Arts/Culture,Play,General Public,94
Recreation,Jazz Foundation of America,04/18/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,33
Recreation,PEP,04/18/2018 07:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Astronomy Stargazing and Talk,Community Based Event,Academic/Out of School time,Lecture/Panel/Talk,General Public,35
Recreation,,04/13/2018 04:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Neon Glow Fittness Challange,Community Based Event,Fitness,Fitness,General Public,70
Recreation,,04/12/2018 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Tea Social at ""The Pelham""",Community Based Event,Arts/Culture,Lecture/Panel/Talk,Adults;#Seniors;#Adaptive,30
Recreation,Jazz Foundation of America,04/12/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,30
Recreation,Jazz Foundation of America,04/05/2018 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,AC&F Jazz Concert,Community Based Event,Performance,AC&F,General Public,45
